* Assignment 1 grades
* Columns:
* id  grade

0002  78.0
0011  56.0
0020  84.0
0024  60.0
0029  46.0
0034  35.0
0041  78.0
0045  91.0
0050  88.0
0057  47.0
0063  95.0
0067  21.0
0074  68.0
0078  53.0
0084  15.0
0091  92.0
0098  76.0
0105  36.0
0113  82.0
0120  88.0
0127  69.0
0133  57.0
0141  29.0
0150  48.0
0157  80.0
0166  62.0
0171  19.0
0179  98.0
0186  65.0
0193  73.0
0200  38.0
0207  15.0
0215  55.0
0221  42.0
0229  27.0
0236  94.0
0244  63.0
0253  77.0
0261  51.0
0268  45.0
0276  80.0
0284  71.0
0291  12.0
0299  94.0
0307  82.0
0315  89.0
0322  52.0
0330  39.0
0335  58.0
0341  14.0
0349  47.0
0355  33.0
0360  78.0
0369  26.0
0376  49.0
0382  54.0
0389  61.0
0395  85.0
0403  73.0
0410  67.0
0416  19.0
0423  58.0
0428  62.0
0434  47.0
0439  13.0
0447  36.0
0455  89.0
0463  52.0
0470  80.0
0478  75.0
0482  97.0
0490  68.0
0498  77.0
0503  29.0
0512  100.0
0517  74.0
0523  18.0
0530  15.0
0536  93.0
0543  69.0
0549  21.0
0555  37.0
0563  24.0
0570  51.0
0576  49.0
0583  63.0
0591  35.0
0600  92.0
0606  50.0
0613  61.0
0617  47.0
0625  87.0
0631  68.0
0638  33.0
0645  29.0
0653  72.0
0660  38.0
0668  52.0
0676  41.0
0684  100.0
0692  75.0
0698  86.0
0703  69.0
0711  3.0
0716  30.0
0722  45.0
0730  49.0
0738  17.0
0744  82.0
0750  12.0
0756  57.0
0763  49.0
0771  26.0
0778  94.0
0785  32.0
0793  59.0
0801  67.0
0809  44.0
0818  1.0
0825  75.0
0832  27.0
0837  9.0
0846  15.0
0851  74.0
0856  82.0
0863  59.0
0872  100.0
0878  97.0
0885  31.0
0893  6.0
0899  87.0
0904  50.0
0912  68.0
0925  44.0
0936  28.0
0947  80.0
0952  26.0
0968  16.0
0979  63.0
0986  22.0
0993  34.0
